ISO3,Country,Residence / Facility Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,total,Water,2010,48.5352,13979675.19514,Basic service
AFG,Afghanistan,rural,Water,2010,48.5352,10661319.68832,Basic service
AFG,Afghanistan,non_hospital,Water,2010,48.5352,13979675.19514,Basic service
AFG,Afghanistan,government,Water,2010,48.5352,13979675.19514,Basic service
AFG,Afghanistan,total,Water,2010,26.3648,7593897.63686,Limited service
AFG,Afghanistan,rural,Water,2010,26.3648,5791334.15168,Limited service
AFG,Afghanistan,non_hospital,Water,2010,26.3648,7593897.63686,Limited service
AFG,Afghanistan,government,Water,2010,26.3648,7593897.63686,Limited service
AFG,Afghanistan,total,Environmental cleaning,2010,100,28803168,Insufficient data
AFG,Afghanistan,urban,Environmental cleaning,2010,100,6837008,Insufficient data
AFG,Afghanistan,rural,Environmental cleaning,2010,100,21966160,Insufficient data
AFG,Afghanistan,hospital,Environmental cleaning,2010,100,28803168,Insufficient data
AFG,Afghanistan,non_hospital,Environmental cleaning,2010,100,28803168,Insufficient data
AFG,Afghanistan,government,Environmental cleaning,2010,100,28803168,Insufficient data
AFG,Afghanistan,non_government,Environmental cleaning,2010,100,28803168,Insufficient data
AFG,Afghanistan,total,Hygiene,2010,100,28803168,Insufficient data
AFG,Afghanistan,urban,Hygiene,2010,100,6837008,Insufficient data
AFG,Afghanistan,rural,Hygiene,2010,100,21966160,Insufficient data
AFG,Afghanistan,hospital,Hygiene,2010,100,28803168,Insufficient data
AFG,Afghanistan,non_hospital,Hygiene,2010,100,28803168,Insufficient data
AFG,Afghanistan,government,Hygiene,2010,100,28803168,Insufficient data
AFG,Afghanistan,non_government,Hygiene,2010,100,28803168,Insufficient data
AFG,Afghanistan,total,Sanitation,2010,63.05,18160397.424,Insufficient data
AFG,Afghanistan,urban,Sanitation,2010,100,6837008,Insufficient data
AFG,Afghanistan,rural,Sanitation,2010,63.05,13849663.88,Insufficient data
AFG,Afghanistan,hospital,Sanitation,2010,100,28803168,Insufficient data
AFG,Afghanistan,non_hospital,Sanitation,2010,63.05,18160397.424,Insufficient data
AFG,Afghanistan,government,Sanitation,2010,63.05,18160397.424,Insufficient data
AFG,Afghanistan,non_government,Sanitation,2010,100,28803168,Insufficient data
AFG,Afghanistan,total,Water,2010,0,0,Insufficient data
AFG,Afghanistan,urban,Water,2010,100,6837008,Insufficient data
AFG,Afghanistan,rural,Water,2010,0,0,Insufficient data
AFG,Afghanistan,hospital,Water,2010,100,28803168,Insufficient data
AFG,Afghanistan,non_hospital,Water,2010,0,0,Insufficient data
AFG,Afghanistan,government,Water,2010,0,0,Insufficient data
AFG,Afghanistan,non_government,Water,2010,100,28803168,Insufficient data
AFG,Afghanistan,total,Health care waste,2010,100,28803168,Insufficient data
AFG,Afghanistan,urban,Health care waste,2010,100,6837008,Insufficient data
AFG,Afghanistan,rural,Health care waste,2010,100,21966160,Insufficient data
AFG,Afghanistan,hospital,Health care waste,2010,100,28803168,Insufficient data
AFG,Afghanistan,non_hospital,Health care waste,2010,100,28803168,Insufficient data
AFG,Afghanistan,government,Health care waste,2010,100,28803168,Insufficient data
AFG,Afghanistan,non_government,Health care waste,2010,100,28803168,Insufficient data
AFG,Afghanistan,total,Sanitation,2010,36.95,10642770.576,No service
AFG,Afghanistan,rural,Sanitation,2010,36.95,8116496.12,No service
AFG,Afghanistan,non_hospital,Sanitation,2010,36.95,10642770.576,No service
AFG,Afghanistan,government,Sanitation,2010,36.95,10642770.576,No service
AFG,Afghanistan,total,Water,2010,25.1,7229595.168,No service
AFG,Afghanistan,rural,Water,2010,25.1,5513506.16,No service
AFG,Afghanistan,non_hospital,Water,2010,25.1,7229595.168,No service
AFG,Afghanistan,government,Water,2010,25.1,7229595.168,No service
AGO,Angola,total,Environmental cleaning,2010,100,23369130,Insufficient data
AGO,Angola,urban,Environmental cleaning,2010,100,13970767,Insufficient data
AGO,Angola,rural,Environmental cleaning,2010,100,9398363,Insufficient data
AGO,Angola,hospital,Environmental cleaning,2010,100,23369130,Insufficient data
AGO,Angola,non_hospital,Environmental cleaning,2010,100,23369130,Insufficient data
AGO,Angola,government,Environmental cleaning,2010,100,23369130,Insufficient data
AGO,Angola,non_government,Environmental cleaning,2010,100,23369130,Insufficient data
AGO,Angola,total,Hygiene,2010,100,23369130,Insufficient data
AGO,Angola,urban,Hygiene,2010,100,13970767,Insufficient data
AGO,Angola,rural,Hygiene,2010,100,9398363,Insufficient data
AGO,Angola,hospital,Hygiene,2010,100,23369130,Insufficient data
AGO,Angola,non_hospital,Hygiene,2010,100,23369130,Insufficient data
AGO,Angola,government,Hygiene,2010,100,23369130,Insufficient data
AGO,Angola,non_government,Hygiene,2010,100,23369130,Insufficient data
AGO,Angola,total,Sanitation,2010,100,23369130,Insufficient data
AGO,Angola,urban,Sanitation,2010,100,13970767,Insufficient data
AGO,Angola,rural,Sanitation,2010,100,9398363,Insufficient data
AGO,Angola,hospital,Sanitation,2010,100,23369130,Insufficient data
AGO,Angola,non_hospital,Sanitation,2010,100,23369130,Insufficient data
AGO,Angola,government,Sanitation,2010,100,23369130,Insufficient data
AGO,Angola,non_government,Sanitation,2010,100,23369130,Insufficient data
AGO,Angola,total,Water,2010,100,23369130,Insufficient data
AGO,Angola,urban,Water,2010,100,13970767,Insufficient data
AGO,Angola,rural,Water,2010,100,9398363,Insufficient data
