ISO3,Country,Residence / Facility Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,total,Environmental cleaning,2015,100,33736492,Insufficient data
AFG,Afghanistan,urban,Environmental cleaning,2015,100,8367662,Insufficient data
AFG,Afghanistan,rural,Environmental cleaning,2015,100,25368830,Insufficient data
AFG,Afghanistan,hospital,Environmental cleaning,2015,100,33736492,Insufficient data
AFG,Afghanistan,non_hospital,Environmental cleaning,2015,100,33736492,Insufficient data
AFG,Afghanistan,government,Environmental cleaning,2015,100,33736492,Insufficient data
AFG,Afghanistan,non_government,Environmental cleaning,2015,100,33736492,Insufficient data
AFG,Afghanistan,total,Hygiene,2015,100,33736492,Insufficient data
AFG,Afghanistan,urban,Hygiene,2015,100,8367662,Insufficient data
AFG,Afghanistan,rural,Hygiene,2015,100,25368830,Insufficient data
AFG,Afghanistan,hospital,Hygiene,2015,100,33736492,Insufficient data
AFG,Afghanistan,non_hospital,Hygiene,2015,100,33736492,Insufficient data
AFG,Afghanistan,government,Hygiene,2015,100,33736492,Insufficient data
AFG,Afghanistan,non_government,Hygiene,2015,100,33736492,Insufficient data
AFG,Afghanistan,total,Sanitation,2015,100,33736492,Insufficient data
AFG,Afghanistan,urban,Sanitation,2015,100,8367662,Insufficient data
AFG,Afghanistan,rural,Sanitation,2015,100,25368830,Insufficient data
AFG,Afghanistan,hospital,Sanitation,2015,100,33736492,Insufficient data
AFG,Afghanistan,non_hospital,Sanitation,2015,100,33736492,Insufficient data
AFG,Afghanistan,government,Sanitation,2015,100,33736492,Insufficient data
AFG,Afghanistan,non_government,Sanitation,2015,100,33736492,Insufficient data
AFG,Afghanistan,total,Water,2015,100,33736492,Insufficient data
AFG,Afghanistan,urban,Water,2015,100,8367662,Insufficient data
AFG,Afghanistan,rural,Water,2015,100,25368830,Insufficient data
AFG,Afghanistan,hospital,Water,2015,100,33736492,Insufficient data
AFG,Afghanistan,non_hospital,Water,2015,100,33736492,Insufficient data
AFG,Afghanistan,government,Water,2015,100,33736492,Insufficient data
AFG,Afghanistan,non_government,Water,2015,100,33736492,Insufficient data
AFG,Afghanistan,total,Health care waste,2015,100,33736492,Insufficient data
AFG,Afghanistan,urban,Health care waste,2015,100,8367662,Insufficient data
AFG,Afghanistan,rural,Health care waste,2015,100,25368830,Insufficient data
AFG,Afghanistan,hospital,Health care waste,2015,100,33736492,Insufficient data
AFG,Afghanistan,non_hospital,Health care waste,2015,100,33736492,Insufficient data
AFG,Afghanistan,government,Health care waste,2015,100,33736492,Insufficient data
AFG,Afghanistan,non_government,Health care waste,2015,100,33736492,Insufficient data
AFG,Afghanistan,total,Environmental cleaning,2016,100,34656032,Insufficient data
AFG,Afghanistan,urban,Environmental cleaning,2016,100,8670939,Insufficient data
AFG,Afghanistan,rural,Environmental cleaning,2016,100,25985092,Insufficient data
AFG,Afghanistan,hospital,Environmental cleaning,2016,100,34656032,Insufficient data
AFG,Afghanistan,non_hospital,Environmental cleaning,2016,100,34656032,Insufficient data
AFG,Afghanistan,government,Environmental cleaning,2016,100,34656032,Insufficient data
AFG,Afghanistan,non_government,Environmental cleaning,2016,100,34656032,Insufficient data
AFG,Afghanistan,total,Hygiene,2016,100,34656032,Insufficient data
AFG,Afghanistan,urban,Hygiene,2016,100,8670939,Insufficient data
